category_slug,product_name,product_slug,sku,format,paper_weight,paper_type,print_sides,finish,min_quantity,max_quantity,supplier_cost,margin_percent
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-001,85x55mm,350g,Couché mat,RECTO,,50,99,8.50,50
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-002,85x55mm,350g,Couché mat,RECTO,,100,249,7.20,55
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-003,85x55mm,350g,Couché mat,RECTO,,250,499,5.80,60
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-004,85x55mm,350g,Couché mat,RECTO,,500,999,4.50,65
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-005,85x55mm,350g,Couché mat,RECTO_VERSO,,100,249,9.50,55
cartes-visite,Cartes de Visite Premium,cartes-visite-premium,CV-006,85x55mm,350g,Couché mat,RECTO_VERSO,Pelliculage mat,250,499,8.20,60
flyers,Flyers A5,flyers-a5,FLY-001,A5,170g,Couché brillant,RECTO,,100,249,15.00,45
flyers,Flyers A5,flyers-a5,FLY-002,A5,170g,Couché brillant,RECTO,,250,499,12.50,50
flyers,Flyers A5,flyers-a5,FLY-003,A5,170g,Couché brillant,RECTO_VERSO,,100,249,18.00,45
flyers,Flyers A5,flyers-a5,FLY-004,A5,170g,Couché brillant,RECTO_VERSO,,250,499,15.50,50
flyers,Flyers A5,flyers-a5,FLY-005,A5,170g,Couché brillant,RECTO_VERSO,,500,999,12.00,55
flyers,Flyers A5,flyers-a5,FLY-006,A5,250g,Couché mat,RECTO_VERSO,,250,499,17.50,50
affiches,Affiches A3,affiches-a3,AFF-001,A3,170g,Couché brillant,RECTO,,50,99,25.00,40
affiches,Affiches A3,affiches-a3,AFF-002,A3,170g,Couché brillant,RECTO,,100,249,22.00,45
affiches,Affiches A2,affiches-a2,AFF-003,A2,170g,Couché brillant,RECTO,,50,99,35.00,40
